alimento,grupo,equivalencia_casera,kcal_por_100g
Gelatina en polvo para leche,Azucares sin grasa,1 gramos = 1 g,380
Gelatina preparada,Azucares sin grasa,1 cucharada = 16 g,62
Gomilocas de hamburguesa,Azucares sin grasa,1 bolsa = 56 g,314
Gomilocas pingüino,Azucares sin grasa,1 bolsa = 56 g,321
Gomitas,Azucares sin grasa,1 pieza = 3 g,350
Gomitas con azúcar,Azucares sin grasa,1 pieza = 15 g,293
Gomitas de Coca Cola,Azucares sin grasa,1 pieza = 4 g,317
Gomitas de aros,Azucares sin grasa,1 pieza = 8 g,319
Gomitas de aros de durazno ácidas,Azucares sin grasa,1 pieza = 8 g,358
Gomitas de guanábana,Azucares sin grasa,1 pieza = 4 g,317
Gomitas de gusano (lombriz brillante),Azucares sin grasa,1 pieza = 8 g,300
Gomitas de pingüinos,Azucares sin grasa,1 bolsa = 56 g,321
Gomitas en forma de dientes (Ricolino),Azucares sin grasa,1 bolsa = 56 g,314
Gomitas frutas enchiladas,Azucares sin grasa,1 pieza = 8 g,319
Gomitas mango Lucky,Azucares sin grasa,1 pieza = 8 g,400
Granadina,Azucares sin grasa,1 cucharada = 15 g,267
Huevitos de chocolate confitado,Azucares sin grasa,1 gramos = 1 g,400
Inulina de agave,Azucares sin grasa,1 cucharadita = 5 g,400
Jalea,Azucares sin grasa,1 cucharadita = 6 g,323
Jalea Molecular varios sabores,Azucares sin grasa,1 cucharadita = 6 g,217
Jarabae sabor chocolate blanco,Azucares sin grasa,1 cucharada = 15 g,2733
Jarabe de chocolate,Azucares sin grasa,1 cucharada = 18 g,272
Jarabe de fresa,Azucares sin grasa,1 cucharada = 15 g,267
Jarabe de mango,Azucares sin grasa,1 cucharada = 15 g,300
Jarabe de nuez de macadamia,Azucares sin grasa,1 cucharada = 15 g,300
Jarabe de sabor para preparar agua,Azucares sin grasa,1 cucharada = 17 g,241
"Jarabe sabor ""fresa""",Azucares sin grasa,1 cucharada = 15 g,267
Jarabe sabor Irlandés,Azucares sin grasa,1 cucharada = 15 g,300
Jarabe sabor amareto,Azucares sin grasa,1 cucharada = 15 g,267
Jarabe sabor arándano azul,Azucares sin grasa,1 cucharada = 15 g,267
Jarabe sabor menta fresca,Azucares sin grasa,1 cucharada = 15 g,267
Jarabe sabor vainilla,Azucares sin grasa,1 cucharada = 15 g,267
Jolly Rancher,Azucares sin grasa,1 pieza = 6 g,383
Jugo Natural'es de Lala,Azucares sin grasa,1 pieza = 125 g,22
Jugo de Ades de naranja,Azucares sin grasa,1 paquete = 200 g,24
Jugo de caña de azúcar,Azucares sin grasa,1 taza = 240 g,83
Jugo de ciruela pasa,Azucares sin grasa,1 taza = 256 g,70
Jugo de cítricos preparado con agua,Azucares sin grasa,1 taza = 242 g,46
Jugo de fruta concentrado,Azucares sin grasa,1 gramos = 1 g,225
Jugo de frutas,Azucares sin grasa,1 taza = 242 g,50
"Jugo de zanahoria, manzana y 3 frutas cítricas",Azucares sin grasa,1 taza = 242 g,49
Kombucha,Azucares sin grasa,1 taza = 240 g,32
Leche condensada,Azucares sin grasa,1 cucharadita = 6 g,327
Leche condensada light,Azucares sin grasa,1 cucharada = 16 g,281
Leche condensada untable,Azucares sin grasa,1 cucharada = 15 g,320
Leche en polvo sabor chocolate con malvavisco,Azucares sin grasa,1 cucharada = 7 g,400
Leche en polvo sabor fudge de chocolate,Azucares sin grasa,1 cucharada = 7 g,400
Lechera tres leches,Azucares sin grasa,1 cucharadita = 6 g,150
Lucas Muecas sabor cereza,Azucares sin grasa,1 pieza = 26 g,323
Malvavisco,Azucares sin grasa,1 pieza = 7 g,321
Malvavisco miniatura,Azucares sin grasa,1 pieza = 1 g,308
Manzana Lift,Azucares sin grasa,1 lata = 356 g,40
Mel ojarabe sabor map,Azucares sin grasa,1 cucharadita = 6 g,258
Melaza,Azucares sin grasa,1 cucharadita = 5 g,277
Mentas de caramelo,Azucares sin grasa,1 pieza = 2 g,410
Mentos Sour Mix,Azucares sin grasa,1 pieza = 3 g,364
Mentos frutal,Azucares sin grasa,1 pieza = 3 g,364
Mentos menta,Azucares sin grasa,1 pieza = 3 g,364
"Merengue ""duro""",Azucares sin grasa,1 pieza = 1 g,382
Mermelada,Azucares sin grasa,1 cucharadita = 7 g,241
Mermelada con fructosa,Azucares sin grasa,1 cucharada = 17 g,93
Mermelada de blueberry,Azucares sin grasa,1 cucharada = 15 g,253
Mermelada de chabacano,Azucares sin grasa,1 cucharada = 15 g,253
Mermelada de durazno,Azucares sin grasa,1 cucharada = 15 g,253
Mermelada de frambuesa,Azucares sin grasa,1 cucharada = 15 g,253
Mermelada de fresa,Azucares sin grasa,1 cucharada = 15 g,253
"Mermelada de fruta, menos azúcar",Azucares sin grasa,1 cucharada = 15 g,133
Mermelada de naranja,Azucares sin grasa,1 cucharada = 15 g,253
Mermelada de pera,Azucares sin grasa,1 cucharada = 15 g,253
Mermelada de zarzamora,Azucares sin grasa,1 cucharada = 15 g,253
Miel,Azucares sin grasa,1 cucharadita = 7 g,307
Miel de abeja,Azucares sin grasa,1 cucharadita = 7 g,307
Miel de agave,Azucares sin grasa,1 cucharadita = 6 g,308
Miel de caña,Azucares sin grasa,1 cucharadita = 6 g,292
Miel de maíz,Azucares sin grasa,1 cucharadita = 6 g,300
Miguelito en polvo,Azucares sin grasa,1 sobre = 4 g,141
Miguelito líquido,Azucares sin grasa,1 sobre = 10 g,40
Monster Energy*,Azucares sin grasa,1 lata = 480 g,75
Mousse de chocolate sin grasa,Azucares sin grasa,1 taza = 200 g,94
Nesquik de chocolate (en polvo),Azucares sin grasa,1 cucharadita = 5 g,346
Nesquik de fresa (en polvo),Azucares sin grasa,1 cucharadita = 5 g,338
Nesquik de vainilla (en polvo),Azucares sin grasa,1 cucharadita = 5 g,360
Nestea (en polvo),Azucares sin grasa,1 cucharadita = 2 g,373
Nieve de frutas,Azucares sin grasa,1 gramos = 1 g,100
Nieve de limón,Azucares sin grasa,1 pieza = 68 g,129
Néctar de fruta,Azucares sin grasa,1 taza = 252 g,60
Obleas de cajeta,Azucares sin grasa,1 pieza = 7 g,429
Paleta Tutsi Pop,Azucares sin grasa,1 pieza = 20 g,370
Paleta de caramelo,Azucares sin grasa,1 pieza = 6 g,367
Paleta helada de agua,Azucares sin grasa,1 pieza = 52 g,79
Paleta helada de fruta,Azucares sin grasa,1 pieza = 92 g,83
Paleta helada de fruta sin azúcar,Azucares sin grasa,1 pieza = 51 g,24
Paleta helada de yogut sabor coco,Azucares sin grasa,1 pieza = 70 g,134
Paletón Corona,Azucares sin grasa,1 pieza = 26 g,338
Panditas,Azucares sin grasa,1 bolsa = 45 g,313
Pasitas con chocolate,Azucares sin grasa,1 pieza = 1 g,391
Pastilla Halls Colors,Azucares sin grasa,1 pieza = 3 g,400
Pastilla Halls limón con miel de abeja,Azucares sin grasa,1 pieza = 3 g,391
Pica Fresa,Azucares sin grasa,1 pieza = 6 g,333
Piloncillo,Azucares sin grasa,1 gramos = 1 g,360
Piloncillo rallado,Azucares sin grasa,1 cucharada = 10 g,360
Polen de abeja,Azucares sin grasa,1 cucharadita = 5 g,385
Ponche de frutas,Azucares sin grasa,1 taza = 239 g,46
Powerade frutas,Azucares sin grasa,1 botella = 600 g,24
Powerade lima-limón,Azucares sin grasa,1 botella = 600 g,24
Powerade mora,Azucares sin grasa,1 botella = 600 g,24
Powerade naranja-mandarina,Azucares sin grasa,1 botella = 600 g,24
Pudin de vainilla en pdvo,Azucares sin grasa,1 cucharadita = 5 g,380
Pudín de chocolate en polvo,Azucares sin grasa,1 cucharadita = 5 g,360
Pudín de coco en polvo,Azucares sin grasa,1 cucharadita = 5 g,430
Pudín de plátano en polvo,Azucares sin grasa,1 cucharadita = 5 g,370
Pulparindo,Azucares sin grasa,1 pieza = 14 g,343
Queso de tuna,Azucares sin grasa,1 gramos = 1 g,323
Red Bull*,Azucares sin grasa,1 lata = 252 g,45
Refresco,Azucares sin grasa,1 lata = 368 g,41
Refresco de cola,Azucares sin grasa,1 lata = 368 g,41
Refresco de frutas,Azucares sin grasa,1 lata = 356 g,49
Refresco de limón,Azucares sin grasa,1 lata = 355 g,33
Refresco de mandarina,Azucares sin grasa,1 lata = 352 g,34
Refresco de manzana,Azucares sin grasa,1 lata = 355 g,37
Refresco de naranja,Azucares sin grasa,1 lata = 356 g,48
Refresco de piña,Azucares sin grasa,1 lata = 352 g,34
Refresco de tamarindo,Azucares sin grasa,1 lata = 355 g,38
Refresco de toronja,Azucares sin grasa,1 lata = 355 g,32
Refresco de tutti fruti,Azucares sin grasa,1 lata = 355 g,32
Ring Pop,Azucares sin grasa,1 pieza = 15 g,382
Rollo de guayaba,Azucares sin grasa,1 gramos = 1 g,307
Runts confitados,Azucares sin grasa,1 pieza = 1 g,409
Salsa Demiglass,Azucares sin grasa,1 taza = 191 g,57
Salsa Marinara cornercial,Azucares sin grasa,1 cucharada = 15 g,51
Salsa Teriyaki,Azucares sin grasa,1 cucharada = 18 g,89
Salsa agridulce,Azucares sin grasa,1 cucharada = 16 g,150
Salsa catsup,Azucares sin grasa,1 cucharada = 15 g,97
Salsa chamoy,Azucares sin grasa,1 gramos = 1 g,108
Salsa de anguila,Azucares sin grasa,1 cucharada = 16 g,134
Salsa de manzana,Azucares sin grasa,1 cucharada = 16 g,262
Salsa de tamarindo,Azucares sin grasa,1 gramos = 1 g,160
Salsa para pizza comercial,Azucares sin grasa,1 cucharada = 15 g,54
Sevillana,Azucares sin grasa,1 pieza = 10 g,410
Sidral Mundet,Azucares sin grasa,1 lata = 355 g,40
Skittles,Azucares sin grasa,1 pieza = 1 g,400
Skwinkes clásicos,Azucares sin grasa,1 paquete = 20 g,350
Skwinkles rellenos,Azucares sin grasa,1 paquete = 26 g,385
Sprite,Azucares sin grasa,1 lata = 355 g,42
Tamborines,Azucares sin grasa,1 pieza = 5 g,343
Tarugos,Azucares sin grasa,1 pieza = 15 g,340
Té helado en polvo,Azucares sin grasa,1 cucharadita = 2 g,410
Vitamin Water Energy Citrico tropical,Azucares sin grasa,1 lata = 340 g,22
Vitamin Water Restore Ponche de frutas,Azucares sin grasa,1 lata = 340 g,22
Vitamin Water XXX acaí-mora azul-granada,Azucares sin grasa,1 lata = 340 g,22
Yakult,Azucares sin grasa,1 envase = 85 g,55
Yakult 40 LT,Azucares sin grasa,1 envase = 85 g,30
Amaranto acaramelado,Cereales C/G,1 taza = 64 g,381
Aros de cebolla,Cereales C/G,1 pieza = 15 g,274
Banderillas,Cereales C/G,1 pieza = 76 g,284
Barcel churritos chile y limón,Cereales C/G,1 bolsa = 52 g,559
Barra All Bran,Cereales C/G,1 pieza = 40 g,387
Barra Kelloggs Special K Nut Bar Arándanos,Cereales C/G,1 barra = 33 g,430
Barra Kelloggs Special K Nut Bar Caramelo-Canela,Cereales C/G,1 barra = 30 g,487
Barra Kelloggs Special K Nut Bar Sabor a chocolate oscuro,Cereales C/G,1 barra = 33 g,491
Barra Kelloggs Special K Proteína,Cereales C/G,1 barra = 40 g,422
Barra de amaranto sabor chocolate,Cereales C/G,1 pieza = 14 g,354
Barra de chocolate amaranto,Cereales C/G,1 pieza = 14 g,354
Barra de fruta Quaker Sabor Fresa,Cereales C/G,1 pieza = 31 g,391
Barra de fruta con avena fresa,Cereales C/G,1 gramos = 1 g,400
Barra de granola,Cereales C/G,1 pieza = 28 g,481
Barra de granola con cacahuate,Cereales C/G,1 pieza = 58 g,458
Barra multigrano linaza,Cereales C/G,1 gramos = 1 g,495
Barras Chewy para Niños Varios Sabores,Cereales C/G,1 paquete = 23 g,413
Barrita de fresa,Cereales C/G,1 pieza = 64 g,462
Barrita de granola con choco chip,Cereales C/G,1 pieza = 28 g,425
Barrita de granola con pasitas y nuez,Cereales C/G,1 pieza = 28 g,462
Barrita de granola cubierta con chocolate,Cereales C/G,1 pieza = 28 g,467
Barritas Marinela,Cereales C/G,1 gramos = 1 g,455
Barritas Marinela Fresa,Cereales C/G,1 pieza = 33 g,464
Barritas Marinela Piña,Cereales C/G,1 pieza = 33 g,464
Base para pay,Cereales C/G,1 gramos = 1 g,550
Bigote relleno de chocolate,Cereales C/G,1 pieza = 64 g,443
Bigotes de cajeta,Cereales C/G,1 pieza = 67 g,468
Bigotes de chocolate,Cereales C/G,1 pieza = 67 g,468
Bigotes miniatura de cajeta,Cereales C/G,1 pieza = 13 g,458
Bimbo Bran Frut Piña,Cereales C/G,1 pieza = 40 g,407
Bimbo Bran Fut Fresa,Cereales C/G,1 pieza = 40 g,377
Bimbo Doraditaz,Cereales C/G,1 pieza = 36 g,528
Bimbo Mantecadas,Cereales C/G,1 pieza = 31 g,443
Bimbo Multigrano Chía,Cereales C/G,1 pieza = 32 g,479
Bimbo Multigrano Linaza,Cereales C/G,1 pieza = 32 g,446
Bimbo Multigrano Nuez,Cereales C/G,1 pieza = 34 g,524
Bimbo Nito,Cereales C/G,1 pieza = 62 g,397
Bimbo Tartinas fresa,Cereales C/G,1 pieza = 17 g,412
Bimbo Tartinas piña,Cereales C/G,1 pieza = 17 g,412
Bimbo Tartinas zarzamora,Cereales C/G,1 pieza = 17 g,412
Bimbo donas azucaradas,Cereales C/G,1 pieza = 26 g,423
Bimbo panquecito gotas de chocolate,Cereales C/G,1 pieza = 70 g,396
Bimbo rol de canela glaseado,Cereales C/G,1 pieza = 60 g,323
Bimbuñuelos,Cereales C/G,1 pieza = 15 g,400
Bocadín,Cereales C/G,1 pieza = 10 g,486
Botana con proteína de amaranto,Cereales C/G,1 bolsa = 40 g,505
Brownie casero,Cereales C/G,1 pieza = 24 g,467
Brownie comercial,Cereales C/G,1 pieza = 56 g,407
Buñuelos,Cereales C/G,1 pieza = 17 g,412
Bísquet,Cereales C/G,1 pieza = 66 g,358
Campechanas,Cereales C/G,1 pieza = 15 g,465
Cazares,Cereales C/G,1 bolsa = 26 g,462
Centro de dona,Cereales C/G,1 pieza = 15 g,377
Chalupa,Cereales C/G,1 pieza = 47 g,170
Charritos de amaranto,Cereales C/G,1 bolsa = 40 g,505
Cheescake,Cereales C/G,1 rebanada = 30 g,320
Cheetos,Cereales C/G,1 gramos = 1 g,550
Cheetos Poffs,Cereales C/G,1 gramos = 1 g,545
Cheetos Poffs,Cereales C/G,1 bolsa = 30 g,545
Cheetos Torciditos,Cereales C/G,1 gramos = 1 g,541
Cheetos Torciditos,Cereales C/G,1 bolsa = 44 g,541
Chicharrón de harina enchilado,Cereales C/G,1 bolsa = 46 g,461
Chips Ahoy,Cereales C/G,1 pieza = 10 g,479
Chips de plátano,Cereales C/G,1 bolsa = 28 g,519
Choco chispas,Cereales C/G,1 pieza = 4 g,517
Chocorroles,Cereales C/G,1 pieza = 34 g,344
Chocotorro,Cereales C/G,1 pieza = 50 g,408
Chokis,Cereales C/G,1 pieza = 10 g,460
Chokis sin azúcar,Cereales C/G,1 pieza = 10 g,458
Churrito con chile,Cereales C/G,1 bolsa = 92 g,474
Churritos Barcel,Cereales C/G,1 paquete = 60 g,553
Churritos de nopal,Cereales C/G,1 bolsa = 61 g,450
Churros,Cereales C/G,1 pieza = 50 g,420
Cocoles,Cereales C/G,1 pieza = 70 g,448
Concha de chocolate,Cereales C/G,1 pieza = 64 g,419
Concha de vainilla,Cereales C/G,1 pieza = 64 g,419
"Concha, pan dulce",Cereales C/G,1 pieza = 64 g,414
Costra para pay casera,Cereales C/G,1 gramos = 1 g,121
Costra para pay congelada,Cereales C/G,1 gramos = 1 g,81
Cremax sin azúcar,Cereales C/G,1 pieza = 12 g,504
Croissant,Cereales C/G,1 pieza = 58 g,400
Croissant de manzana,Cereales C/G,1 pieza = 57 g,253
Croissant de queso,Cereales C/G,1 pieza = 58 g,407
Croutones sazonados,Cereales C/G,1 taza = 31 g,457
Crujitos,Cereales C/G,1 bolsa = 40 g,465
Cuernito,Cereales C/G,1 pieza = 58 g,400
Cuernito de manzana,Cereales C/G,1 pieza = 57 g,253
Cuernito de queso,Cereales C/G,1 pieza = 58 g,407
Cuerno,Cereales C/G,1 pieza = 58 g,400
Cupcake de chocolate,Cereales C/G,1 pieza = 60 g,350
Dona,Cereales C/G,1 pieza = 64 g,429
Dona azucarada,Cereales C/G,1 pieza = 64 g,429
Dona con coco,Cereales C/G,1 pieza = 50 g,408
Dona glaseada,Cereales C/G,1 pieza = 64 g,429
Dona glaseada de chocolate,Cereales C/G,1 pieza = 64 g,486
Dona glaseada sabor chocolate,Cereales C/G,1 pieza = 64 g,486
Dona rellena de crema,Cereales C/G,1 pieza = 79 g,365
Dona rellena de mermelada,Cereales C/G,1 pieza = 79 g,346
Donas con azúcar,Cereales C/G,1 pieza = 64 g,414
Donas con chocolate,Cereales C/G,1 pieza = 76 g,448
Doraditas,Cereales C/G,1 pieza = 36 g,544
Doritos Diablo,Cereales C/G,1 bolsa = 61 g,455
Doritos Incognita,Cereales C/G,1 paquete = 58 g,474
Doritos Nacho,Cereales C/G,1 bolsa = 61 g,455
Doritos Nachos,Cereales C/G,1 gramos = 1 g,475
Doritos Nachos,Cereales C/G,1 bolsa = 61 g,470
Doritos Pizzerolas,Cereales C/G,1 bolsa = 61 g,455
Doritos Pizzerolas,Cereales C/G,1 paquete = 58 g,489
Dálmata,Cereales C/G,1 pieza = 58 g,437
Eclair de chocolate,Cereales C/G,1 pieza = 58 g,338
Emperador chocolate,Cereales C/G,1 pieza = 10 g,444
Emperador sin azúcar,Cereales C/G,1 pieza = 10 g,462
Fiber One Sabor,Cereales C/G,1 pieza = 25 g,332
Fiber One Sabor Canela,Cereales C/G,1 pieza = 25 g,326
Fritos,Cereales C/G,1 gramos = 1 g,550
Fritos chile y limón,Cereales C/G,1 bolsa = 40 g,515
Fritos chorizo y chipotle,Cereales C/G,1 bolsa = 40 g,515
Fritos sal y limón,Cereales C/G,1 bolsa = 40 g,555
Frituras de maíz con limón y sal,Cereales C/G,1 bolsa = 58 g,442
Friuturas de maíz con chile y limón,Cereales C/G,1 bolsa = 58 g,442
Fruitcake,Cereales C/G,1 rebanada = 43 g,325
Galleta Canelitas,Cereales C/G,1 pieza = 15 g,491
Galleta con chispas de chocolate,Cereales C/G,1 pieza = 7 g,500
Galleta con chispas de chocolate con mantequilla caseras,Cereales C/G,1 pieza = 16 g,488
Galleta cubierta de chocolate,Cereales C/G,1 pieza = 14 g,490
Galleta de avena,Cereales C/G,1 pieza = 18 g,450
Galleta de avena Quaker con Pasas,Cereales C/G,1 pieza = 10 g,428
Galleta de avena Quaker sin azúcar con Almendras,Cereales C/G,1 pieza = 10 g,390
Galleta de avena con pasas,Cereales C/G,1 pieza = 12 g,440
Galleta de avena y manzana,Cereales C/G,1 pieza = 24 g,450
Galleta de chocolate con relleno cremoso,Cereales C/G,1 pieza = 9 g,461
Galleta de chocolate con relleno cremoso baja en grasa,Cereales C/G,1 pieza = 9 g,441
Galleta de crema de cacahuate,Cereales C/G,1 pieza = 15 g,470
Galleta de malvavisco con chocolate,Cereales C/G,1 pieza = 13 g,423
Galleta de nuez,Cereales C/G,1 pieza = 15 g,478
Galleta de oreo,Cereales C/G,1 pieza = 9 g,478
Galleta de salvado,Cereales C/G,1 pieza = 40 g,387
Galleta integral,Cereales C/G,1 pieza = 5 g,475
Galleta integral con miel,Cereales C/G,1 pieza = 6 g,458
Galleta integral con miel,Cereales C/G,1 pieza = 6 g,458
Galleta integral de trigo,Cereales C/G,1 pieza = 7 g,404
Galleta integral molida,Cereales C/G,1 cucharada = 6 g,475
Galleta salada cremosa,Cereales C/G,1 pieza = 3 g,509
Galleta sándwich,Cereales C/G,1 pieza = 10 g,433
Galleta sándwich de chocolate,Cereales C/G,1 pieza = 10 g,433
Galleta sándwich de vainilla,Cereales C/G,1 pieza = 10 g,433
Galleta wafers,Cereales C/G,1 pieza = 4 g,500
Galletas Marías Doradas,Cereales C/G,1 pieza = 10 g,440
Galletas con almendras,Cereales C/G,1 pieza = 14 g,538
Galletas con chispas de chocolate,Cereales C/G,1 pieza = 32 g,500
Galletas con chispas de chocolate baja en grasa,Cereales C/G,1 pieza = 10 g,450
Galletas con mermelada,Cereales C/G,1 pieza = 17 g,412
Galletas de canela,Cereales C/G,1 pieza = 15 g,452
Galletas de manzana con pasas,Cereales C/G,1 pieza = 26 g,435
Galletas de nuez con azúcar glass,Cereales C/G,1 pieza = 27 g,515
Galletas globitos,Cereales C/G,1 pieza = 1 g,459
Gansito,Cereales C/G,1 gramos = 1 g,396
Germen de trigo,Cereales C/G,1 cucharada = 30 g,383
Gordita de maíz,Cereales C/G,1 pieza = 47 g,306
Granola Thins Nature Valley,Cereales C/G,1 pieza = 17 g,471
Granola con almendras,Cereales C/G,1 cucharada = 7 g,467
Granola con avena y miel,Cereales C/G,1 cucharada = 7 g,457
Granola con pasitas y dátiles,Cereales C/G,1 cucharada = 7 g,438
Granola estándar,Cereales C/G,1 cucharada = 7 g,462
Habaneras Bran Arándanos Ciruela,Cereales C/G,1 gramos = 1 g,323
Harina de algodón baja en grasa,Cereales C/G,1 cucharada = 8 g,331
Harina de cacahuate,Cereales C/G,1 cucharada = 8 g,328
Harina de girasol parcialmente desgrasada,Cereales C/G,1 cucharada = 8 g,328
Harina de soya baja en grasa,Cereales C/G,1 cucharada = 8 g,375
Harina de soya desgrasada,Cereales C/G,1 cucharada = 8 g,331
Harina de soya full fat,Cereales C/G,1 cucharada = 8 g,438
Harina de sésamo baja en grasa,Cereales C/G,1 cucharada = 8 g,334
Harina para churros,Cereales C/G,1 cucharada = 8 g,362
Hojaldra,Cereales C/G,1 pieza = 85 g,411
Hot cake con mantequilla congelado,Cereales C/G,1 pieza = 38 g,234
Hot cake congelado,Cereales C/G,1 pieza = 38 g,234
Kelloggs Nutri Grain Manzana,Cereales C/G,1 pieza = 37 g,371
Kelloggs Nutri Grain Mora Azul,Cereales C/G,1 pieza = 37 g,386
Kelloggs's Nutri Grain Piña,Cereales C/G,1 pieza = 37 g,375
Kinder Delice,Cereales C/G,1 paquete = 42 g,452
Macarrón con queso,Cereales C/G,1 taza = 200 g,216
Macarrón de coco,Cereales C/G,1 pieza = 12 g,458
Madalena,Cereales C/G,1 pieza = 27 g,460
Mamut,Cereales C/G,1 pieza = 44 g,455
Mantecada,Cereales C/G,1 pieza = 31 g,443
Marinela Canelitas,Cereales C/G,1 pieza = 15 g,491
Marinela Chocorroles,Cereales C/G,1 pieza = 33 g,352
Marinela Dálmata,Cereales C/G,1 pieza = 46 g,383
Marinela Gansito,Cereales C/G,1 pieza = 46 g,400
Marinela Polvorones,Cereales C/G,1 pieza = 18 g,483
Marinela Príncipe blancas,Cereales C/G,1 pieza = 10 g,475
Marinela Príncipe chocolate,Cereales C/G,1 pieza = 10 g,475
Marinela Príncipe mousse de limón,Cereales C/G,1 pieza = 10 g,515
Marinela Triki Trakes,Cereales C/G,1 pieza = 9 g,494
Marinela barritas de fresa,Cereales C/G,1 pieza = 33 g,464
Marinela barritas de piña,Cereales C/G,1 pieza = 33 g,464
Marías Gamesa Cereale Chocoplátano,Cereales C/G,1 gramos = 1 g,600
Marías Gamesa Cereale Fresa,Cereales C/G,1 gramos = 1 g,600
Maíz palomero con mantequilla horno de microondas,Cereales C/G,1 taza = 15 g,303
Muffin con mantequillla,Cereales C/G,1 pieza = 112 g,303
Muffin de blueberry,Cereales C/G,1 pieza = 112 g,382
Muffin integral,Cereales C/G,1 pieza = 112 g,273
Muffin integral con pasas,Cereales C/G,1 pieza = 112 g,319
Mufin de manzana,Cereales C/G,1 pieza = 124 g,332
Mufin de maíz,Cereales C/G,1 pieza = 112 g,308
Mufin de plátano,Cereales C/G,1 pieza = 124 g,303
Nachos,Cereales C/G,1 pieza = 7 g,505
Nature Valley,Cereales C/G,1 pieza = 36 g,389
Nature Valley Barra Granola con Manzana,Cereales C/G,1 pieza = 21 g,429
Nature Valley con Cacahuate,Cereales C/G,1 pieza = 33 g,490
"Nature Valley con chocolate oscuro, cacahuate y almendra",Cereales C/G,1 pieza = 36 g,467
Nature Valley con frutas y almendras,Cereales C/G,1 pieza = 36 g,422
Oreja,Cereales C/G,1 pieza = 52 g,476
Orejas de pan de dulce,Cereales C/G,1 pieza = 52 g,476
Palomitas con queso,Cereales C/G,1 taza = 28 g,524
Palomitas de chocolate,Cereales C/G,1 taza = 8 g,408
Palomitas de mantequilla,Cereales C/G,1 taza = 6 g,539
Palomitas garapiñadas,Cereales C/G,1 taza = 28 g,433
Palomitas microondas Poffets Natural,Cereales C/G,1 taza = 7 g,472
Pan de ajo,Cereales C/G,1 pieza = 28 g,332
Pan de ajo con queso,Cereales C/G,1 pieza = 28 g,350
"Pan de dulce , orejas",Cereales C/G,1 pieza = 52 g,476
Pan de dulce miniatura,Cereales C/G,1 pieza = 33 g,376
Pan de jenjibre,Cereales C/G,1 rebanada = 28 g,357
Pan de muesli,Cereales C/G,1 rebanada = 28 g,336
Pan dulce integral,Cereales C/G,1 pieza = 67 g,441
Pan focaccia,Cereales C/G,1 gramos = 1 g,250
Pan tipo muffin con mantequilla,Cereales C/G,1 pieza = 112 g,303
Pan tipo muffin de fruta,Cereales C/G,1 pieza = 112 g,382
Pan tipo muffin de maíz,Cereales C/G,1 pieza = 112 g,308
Pan tipo muffin integral,Cereales C/G,1 pieza = 112 g,273
Panquecito cubierto de chocolate,Cereales C/G,1 pieza = 48 g,358
Panquecito cubierto de vainilla,Cereales C/G,,361
Panquecito de vainilla,Cereales C/G,1 pieza = 66 g,361
Panqué,Cereales C/G,1 rebanada = 40 g,420
Panqué con mantequilla,Cereales C/G,1 rebanada = 40 g,420
Panqué de limón,Cereales C/G,1 rebanada = 28 g,411
Panqué de nata,Cereales C/G,1 rebanada = 46 g,422
Panqué de salvado,Cereales C/G,1 rebanada = 40 g,295
Panqué marmoleado,Cereales C/G,1 rebanada = 28 g,379
Papa Hash Brown,Cereales C/G,1 taza = 156 g,256
Papa congelada para freir,Cereales C/G,1 gramos = 1 g,200
Papa sal,Cereales C/G,1 gramos = 1 g,535
Papas Sabritas,Cereales C/G,1 gramos = 1 g,510
Papas curly,Cereales C/G,1 pieza = 63 g,238
Papas deshidratadas,Cereales C/G,1 paquete = 92 g,426
Papas fritas,Cereales C/G,1 pieza = 3 g,556
Papas fritas a la francesa,Cereales C/G,1 pieza = 5 g,560
Papas fritas bajas en grasa,Cereales C/G,1 pieza = 3 g,500
Papas fritas con crema ácida y cebolla,Cereales C/G,1 pieza = 3 g,544
Papas fritas con queso,Cereales C/G,1 pieza = 3 g,550
Papas fritas en juliana,Cereales C/G,1 pieza = 5 g,333
Papas fritas light,Cereales C/G,1 pieza = 3 g,333
Papas fritas reducidas en grasa,Cereales C/G,1 bolsa = 25 g,495
Papilla de macarrones con pollo,Cereales C/G,1 frasco = 130 g,52
Pasta de hojaldre,Cereales C/G,1 gramos = 1 g,540
Pasta hojaldrada,Cereales C/G,1 gramos = 1 g,540
Pasta quebrada,Cereales C/G,1 gramos = 1 g,540
Pastel de chocolate,Cereales C/G,1 rebanada = 28 g,371
Pastel de frutas,Cereales C/G,1 rebanada = 28 g,325
Pastel de piña,Cereales C/G,1 rebanada = 28 g,318
Pastel de zanahoria con cubierta de queso crema,Cereales C/G,1 rebanada = 56 g,400
Pastelito con relleno cremoso y mermelada,Cereales C/G,1 pieza = 50 g,392
Pastelito de chocolate con relleno cremoso,Cereales C/G,1 pieza = 30 g,363
Pastisetas,Cereales C/G,1 pieza = 8 g,532
Pastitas de mantequilla,Cereales C/G,1 pieza = 8 g,560
Pay de calabaza,Cereales C/G,1 rebanada = 45 g,242
Pay de chocolate,Cereales C/G,1 rebanada = 30 g,303
Pay de limón con merengue,Cereales C/G,1 rebanada = 35 g,269
Pay de manzana,Cereales C/G,1 rebanada = 40 g,238
Pay de nuez,Cereales C/G,1 pieza = 70 g,443
