alimento,grupo,equivalencia_casera,kcal_por_100g
Salchicha ahumada,AOA AAG,1 pieza = 68 g,321
Salchicha de pollo,AOA AAG,1 pieza = 45 g,294
Salchicha de puerco,AOA AAG,1 pieza = 45 g,335
Salchicha de ternera,AOA AAG,1 pieza = 58 g,310
Sesos de res cocidos,AOA AAG,1 gramos = 1 g,152
Sesos de res crudos,AOA AAG,1 gramos = 1 g,142
Sesos de res fritos,AOA AAG,1 gramos = 1 g,196
T-bone con grasa cocido,AOA AAG,1 gramos = 1 g,300
"Tofu, frito",AOA AAG,1 gramos = 1 g,270
Tripas de res,AOA AAG,1 gramos = 1 g,218
Ubre,AOA AAG,1 gramos = 1 g,233
Valveta,AOA AAG,1 gramos = 1 g,286
Yema,AOA AAG,1 pieza = 17 g,318
Yema de huevo,AOA AAG,1 pieza = 17 g,318
Yema de huevo en polvo,AOA AAG,1 cucharada = 5 g,687
Agujas de res,AOA BAG,1 gramos = 1 g,155
Anchoa con aceite,AOA BAG,1 pieza = 4 g,208
Anchoas en lata,AOA BAG,1 pieza = 4 g,208
Arenque cocido,AOA BAG,1 gramos = 1 g,204
Arenque fresco crudo,AOA BAG,1 gramos = 1 g,157
Arrachera cruda,AOA BAG,1 gramos = 1 g,140
Arrachera de res cocida,AOA BAG,1 gramos = 1 g,187
Atún ahumado,AOA BAG,1 gramos = 1 g,187
Atún blanco en aceite,AOA BAG,1 gramos = 1 g,187
Atún en aceite drenado,AOA BAG,1 lata = 100 g,200
Barbacoa,AOA BAG,1 gramos = 1 g,135
Barbacoa con hueso,AOA BAG,1 gramos = 1 g,134
Bistec de ternera,AOA BAG,1 gramos = 1 g,157
Bonito,AOA BAG,1 gramos = 1 g,165
Bonito Fileteado,AOA BAG,1 gramos = 1 g,167
Bonito en aceite,AOA BAG,1 gramos = 1 g,220
Cabeza de carnero ocida,AOA BAG,1 gramos = 0 g,110
Cabeza de cerdo,AOA BAG,1 gramos = 0 g,110
Calamar frito,AOA BAG,1 gramos = 1 g,174
Carne de cerdo,AOA BAG,1 gramos = 1 g,140
Carne de cerdo molida,AOA BAG,1 gramos = 1 g,140
Carne de ganso de crianza,AOA BAG,1 gramos = 1 g,162
Carne de pato de crianza,AOA BAG,1 gramos = 1 g,131
Carne de res (promedio),AOA BAG,1 gramos = 1 g,180
Carne de ternera,AOA BAG,1 gramos = 1 g,157
