id,grupo,alimento,cantidad,unidad,peso_bruto_g,peso_neto_g,kcal,prot_g,lip_g,hc_g,agsat_g,agmono_g,agpoli_g,colest_mg,azucar_g,fibra_g,vita_ug,ac_ascorbico_mg,ac_folico_ug,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,ig,cg
naranja-agria,Frutas,Naranja agria,2,pieza,200,126,73,1.9,0.8,14.9,0,0,0,0,11.8,3,12.6,39.1,,81.9,1,252,1.3,,0,NID,
naranja-cajera,Frutas,Naranja Cajera,2,pieza,220,139,69,1.4,1,16.4,0,0,0,0,13,3.3,15.2,70.7,,63.8,3.5,277.2,1.4,,0,NID,
naranja-china,Frutas,Naranja China,4,pieza,140,129,48,2.1,0.4,15.2,0,0,0,0,12,3.1,36.1,56.7,,87.6,1.2,,,,0,,
naranja-sin-semilla,Frutas,Naranja sin semilla,1,pieza,201,155,72,1.1,6,18.3,0,0,0,0,14.5,3.7,,,,,,,1.5,,0,,
naranja-valenciana,Frutas,Naranja Valenciana,2,pieza,242,162,79,1.7,0.5,19.1,0,0.1,0.1,0,15.2,3.9,37.5,79.1,63,64.3,0.1,290.8,,28.1,0,,
naranjada-concentrada,Frutas,Naranjada concentrada,0.5,taza,130,130,57,1,2,13.2,0,0,0,0,,0.3,,NID,,,,7.6,,,0,,
nectarina,Frutas,Nectarina,1,pieza,136,124,54,1.3,0.4,13.1,0.1,0.2,0.3,0,9.8,2.1,91.9,6.4,4.6,6.4,0.2,262.1,NID,20,0,,
nispero,Frutas,Níspero,25,pieza,350,140,59,0.1,1.2,13.3,0,0,0,0,,0,NID,,,,,,,,0,,
nispero-del-japon,Frutas,Níspero del Japón,2,pieza,180,108,52,0.4,0.2,13.4,0,0,0.1,0,,1.3,56.2,1.1,8.6,17.3,0.3,287.3,1.1,,0,,
orejones-de-chabacano,Frutas,Orejones de chabacano,7,pieza,25,25,59,0.8,0.1,15.3,0,0.1,0,0,13.1,1.8,177.1,0.7,2.8,11.2,1.2,337.4,2.8,28.7,0,30,4.6
orejones-de-durazno,Frutas,Orejones de durazno,2,pieza,26,26,62,0.9,0.2,15.9,0,0.1,0.1,0,10.9,2.1,56.2,1.2,,7.2,1.1,259,1.8,31,0,,
