id,grupo,alimento,cantidad,unidad,peso_bruto_g,peso_neto_g,kcal,prot_g,lip_g,hc_g,agsat_g,agmono_g,agpoli_g,colest_mg,azucar_g,fibra_g,vita_ug,ac_ascorbico_mg,ac_folico_ug,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,ig,cg
pechuga-de-pollo-sin-piel-asada,AOA MBAG,Pechuga de pollo sin piel asada,30,gramos,30,30,48,8.7,1.2,0,0.3,0.4,0.3,23.1,0,0,2.4,0,0.9,3.9,0.3,54,19.5,47.7,0,,
pechuga-de-pollo-sin-piel-cocida,AOA MBAG,Pechuga de pollo sin piel cocida,30,gramos,30,30,48,8.7,1.2,0,0.3,0.4,0.3,23.1,0,0,2.4,0,0.9,3.9,0.3,54,19.5,47.7,0,,
pechuga-de-pollo-sin-piel-cruda,AOA MBAG,Pechuga de pollo sin piel cruda,40,gramos,40,34,39,7.9,0.6,0,0.1,0.1,0.1,19.7,0,0,2.7,0,1.4,4.1,0.2,81.3,23.1,63.6,0,,
pechuga-de-pollo-sin-piel-en-brocheta-cruda,AOA MBAG,Pechuga de pollo sin piel en brocheta cruda,30,gramos,30,30,34,7,0.5,0,0.1,0.1,0.1,17.4,0,0,2.4,0,1.2,3.6,0.2,71.7,20.4,56.1,0,,
pechuga-de-pollo-sin-piel-en-fajitas-cruda,AOA MBAG,Pechuga de pollo sin piel en fajitas cruda,30,gramos,30,30,34,7,0.5,0,0.1,0.1,0.1,17.4,0,0,2.4,0,1.2,3.6,0.2,71.7,20.4,56.1,0,,
pechuga-de-pollo-sin-piel-horneada-rebanada,AOA MBAG,"Pechuga de pollo sin piel horneada, rebanada",2,reb,42,42,41,8.2,0.3,1.6,0.1,0.1,0.1,21.5,0.3,0,0,0,0,3.7,0.5,122.3,479.7,118.5,0,,
pechuga-de-pollo-sin-piel-molida-cruda,AOA MBAG,Pechuga de pollo sin piel molida cruda,30,gramos,30,30,34,7,0.5,0,0.1,0.1,0.1,17.4,0,0,2.4,0,1.2,3.6,0.2,71.7,20.4,56.1,0,,
pechuga-sin-piel-deshebrada,AOA MBAG,Pechuga sin piel deshebrada,30,gramos,30,30,34,7,0.5,0,0.1,0.1,0.1,17.4,0,0,2.4,0,1.2,3.6,0.2,71.7,20.4,56.1,0,,
pechuga-sin-piel-desmenuzada,AOA MBAG,Pechuga sin piel desmenuzada,30,gramos,30,30,34,7,0.5,0,0.1,0.1,0.1,17.4,0,0,2.4,0,1.2,3.6,0.2,71.7,20.4,56.1,0,,
pechuga-sin-piel-molida,AOA MBAG,Pechuga sin piel molida,30,gramos,30,30,34,7,0.5,0,0.1,0.1,0.1,17.4,0,0,2.4,0,1.2,3.6,0.2,71.7,20.4,56.1,0,,
perca-cocida,AOA MBAG,Perca cocida,30,gramos,30,30,35,7.4,0.4,0,0.1,0.1,0.1,34.6,0,0,3,0.5,1.8,30.7,0.3,103.2,23.6,77.1,0,,
perca-cruda,AOA MBAG,Perca cruda,75,gramos,75,38,35,7.4,0.4,0,0.1,0,0.1,34.4,0,0,3.6,0.7,1.9,30.6,0.3,103.1,23.9,76.5,0,,
perca-fileteada,AOA MBAG,Perca Fileteada,38,gramos,38,38,34,7.4,0.4,0,0.1,0,0.1,34.2,0,0,3.6,0.6,1.9,30.4,0.3,102.4,23.7,76,0,,
pescado-blanco-ahumado,AOA MBAG,Pescado blanco ahumado,32,gramos,32,32,35,7.5,0.3,0,0.1,0.1,0.1,10.5,0,0,18.2,0,2.3,5.6,0.2,135.5,326.1,42.2,0,,
pescado-en-trozo,AOA MBAG,Pescado en trozo,75,gramos,75,39,35,7.3,0.5,0,0.1,0.1,0.1,18.7,0,0,3.9,0.7,3.1,6.9,0.1,140.8,31.6,71.8,0,,
pescado-entero,AOA MBAG,Pescado entero,75,gramos,75,39,35,7.3,0.5,0,0.1,0.1,0.1,18.7,0,0,3.9,0.7,3.1,6.9,0.1,140.8,31.6,71.8,0,,
pescado-fileteado,AOA MBAG,Pescado Fileteado,40,gramos,40,40,36,7.5,0.5,0,0.1,0.1,0.1,19.2,0,0,4,0.7,3.2,7.1,0.1,144.4,32.4,73.6,0,,
pescado-rebanado,AOA MBAG,Pescado rebanado,75,gramos,75,39,35,7.3,0.5,0,0.1,0.1,0.1,18.7,0,0,3.9,0.7,3.1,6.9,0.1,140.8,31.6,71.8,0,,
pescado-seco-tipo-bacalao,AOA MBAG,Pescado seco tipo bacalao,13,gramos,13,12,34,7.4,0.3,0,0.1,0,0.1,17.8,0,0,5,0.4,2.9,18.7,0.3,170.7,822.2,111.2,0,,
pez-espada-cocido,AOA MBAG,Pez espada cocido,28,gramos,28,28,43,7.1,1.4,0,0.4,0.6,0.3,14,0,0,11.5,0.3,0.6,1.6,0.3,103.4,32.3,94.4,0,,
pez-espada-crudo,AOA MBAG,Pez espada crudo,55,gramos,55,36,43,7.1,1.4,0,0.4,0.5,0.3,13.9,0,0,13,0.4,0.7,1.3,0.3,103,32.2,94,0,,
pez-espada-crudo-fileteado,AOA MBAG,Pez espada crudo Fileteado,38,gramos,38,36,44,7.1,1.4,0,0.4,0.6,0.3,14,0,0,13.2,0.4,0.7,1.3,0.3,104.1,32.5,94.9,0,,
pez-espada-crudo-rebanado,AOA MBAG,Pez espada crudo rebanado,55,gramos,55,36,43,7.1,1.4,0,0.4,0.5,0.3,13.9,0,0,13,0.4,0.7,1.3,0.3,103,32.2,94,0,,
pollo-crudo-sin-piel,AOA MBAG,Pollo crudo sin piel,40,gramos,40,26,48,4.6,3.1,0,0.9,1.3,0.7,21.2,0,0,10.5,0,1.5,2.8,2,48.4,17.9,0,0,,
pollo-crudo-sin-piel-en-piezas,AOA MBAG,Pollo crudo sin piel en piezas,40,gramos,40,26,49,4.7,3.2,0,0.9,1.3,0.7,21.6,0,0,9.4,0.7,2.9,2.6,0.3,51.5,20.5,38.7,0,,
pollo-deshebrado,AOA MBAG,Pollo deshebrado,0.25,taza,38,38,43,8.7,0.6,0,0.4,0.5,0.3,21.8,0,0,30,0,1.1,4.5,0.3,68.4,25.5,60.4,0,,
pollo-sin-piel-cocido,AOA MBAG,Pollo sin piel cocido,30,gramos,30,30,48,8.7,1.2,0,0.3,0.4,0.3,23.1,0,0,2.4,0,0.9,3.9,0.3,54,19.5,47.7,0,,
proteina-aislada-de-soya,AOA MBAG,Proteína aislada de soya,10,gramos,10,10,34,8.1,0.3,0.7,0.7,0.3,0.3,1.6,0,0.6,28,1.1,0,17.8,1.5,8.1,100.5,77.6,0,,
proteina-concentrada-de-soya,AOA MBAG,Proteína concentrada de soya,10,gramos,10,10,33,5.8,0,3.1,0,0,0,0,2,0.6,0,0,34.3,36.3,1.1,220.2,0.3,83.9,0,,
proteina-de-suero-de-leche,AOA MBAG,Proteína de suero de leche,2,cdita,10,10,36,5.8,0.1,2.9,0.1,0,0,1.2,0,0.1,87.2,3.5,,69.8,0.1,,37.2,,0,,
pulmon-de-cerdo,AOA MBAG,Pulmón de cerdo,55,gramos,55,48,41,6.7,1.3,0,0.5,0.3,0.2,153.1,0,0,0,5.9,1.4,3.3,9,145,73.2,93.8,0,,
pulpa-de-jaiba,AOA MBAG,Pulpa de jaiba,0.33,taza,46,46,38,8,0.6,0,0.1,0.1,0.2,36,0,0,300.8,0,,19.9,0.4,122.4,18.9,64.7,0,,
pulpo-cocido,AOA MBAG,Pulpo cocido,25,gramos,25,25,41,7.5,0.5,1.1,0.1,0.1,0.1,24.1,0,0,22.5,2,6,26.5,2.4,157.5,115,69.7,0,,
pulpo-crudo,AOA MBAG,Pulpo crudo,45,gramos,45,45,37,6.7,0.5,1,0.1,0.1,0.1,21.7,0,0,20.1,2.3,7.2,23.8,2.4,157.5,103.5,83.6,0,,
puntas-de-filete,AOA MBAG,Puntas de Filete,30,gramos,30,30,36,7.2,0.8,0,0.4,0.3,0,14.1,0,0,41.7,0,3,2.7,0.5,90,18,63,0,,
puntas-de-res,AOA MBAG,Puntas de res,30,gramos,30,30,36,7.2,0.8,0,0.4,0.3,0,14.1,0,0,41.7,0,3,2.7,0.5,90,18,63,0,,
queso-cotagge-lala-light,AOA MBAG,"Queso Cotagge
Lala Light",50,gramos,50,50,35,6.5,0.5,1,,,,,,,,,,0,,,200,,0,,
queso-cottage,AOA MBAG,Queso Cottage,3,cda,48,48,43,6.6,0.9,1.7,0.6,0.3,0,4,0.2,0,10.1,0,6.4,32.9,0.1,46.1,195,72.5,0,,
queso-cottage-1-grasa,AOA MBAG,Queso Cottage 1 % grasa,0.25,taza,57,57,41,7,0.6,1.5,0.4,0.2,0,2.5,1.5,0,6.3,0,7,34.5,0.1,48.3,229.5,75.5,0,,
queso-cottage-2-grasa,AOA MBAG,Queso Cottage 2% grasa,3,cda,48,48,43,6.6,0.9,1.7,0.6,0.3,0,4,0.2,0,10.1,0,6.4,32.9,0.1,46.1,195,72.5,0,,
queso-cottage-bajo-en-grasa,AOA MBAG,Queso Cottage bajo en grasa,0.25,taza,57,57,41,7,0.6,1.5,0.4,0.2,0,2.5,1.5,0,6.3,0,7,34.5,0.1,48.3,229.5,75.5,0,,
queso-mozzarella-cero-grasa,AOA MBAG,Queso Mozzarella cero grasa,1,reb,28,28,39,8.9,0,1,0,0,0,5,0.4,0.5,36,0,,26.9,0.1,,208,,0,,
queso-suizo-muy-bajo-en-grasa,AOA MBAG,Queso Suizo muy bajo en grasa,1,reb,28,28,50,8,1.4,1,0.9,0.4,0.1,10,0.4,0,11,0,,26.9,0.1,,73,,0,,
retazo-de-pescado-crudo,AOA MBAG,Retazo de pescado crudo,350,gramos,350,35,35,7.2,0.5,0,0.1,0.1,0.2,12.8,0,0,10.7,0.6,1.8,11.1,0.1,146,22.2,69.2,0,,
rinones-de-carnero-crudos,AOA MBAG,Riñones de carnero crudos,40,gramos,40,36,39,6.5,1.2,0.3,0,0,0,135,0,0,108,0,0,14.4,15,0,0,0,0,,
rinones-de-cerdo-cocidos,AOA MBAG,Riñones de cerdo cocidos,28,gramos,28,28,42,7.1,1.3,0,0.4,0.4,0.1,134.4,0,0,21.8,3.1,11.5,3.6,1.5,40,22.4,67.2,0,,
rinones-de-res-cocidos,AOA MBAG,Riñones de res cocidos,25,gramos,25,25,40,6.8,1.2,0,0.3,0.2,0.2,179,0,0,0,0,20.8,4.8,1.5,33.8,23.5,76,0,,
rinones-de-ternera-cocidos,AOA MBAG,Riñones de ternera cocidos,25,gramos,25,25,41,6.6,1.4,0,0.4,0.3,0.3,197.8,0,0,50.3,2,5.3,7.3,0.8,39.8,27.5,93,0,,
roast-beef,AOA MBAG,Roast beef,2.5,reb,33,33,36,6.6,0.9,0.5,0.4,0.6,0.1,15.6,0.1,0,0,0,0,1.9,0.6,106.3,328.8,90,0,,
robalo-cocido,AOA MBAG,Róbalo cocido,30,gramos,30,30,34,7.3,0.3,0,0,0,0.1,22.2,0,0,5.6,0,3.9,12.7,0.4,119.6,26.1,72.4,0,,
robalo-crudo,AOA MBAG,Róbalo crudo,75,gramos,75,38,33,7.2,0.3,0,0,0,0.1,21.8,0,0,6.5,0,4.5,12.6,0.4,119,26.1,72,0,,
robalo-fileteado,AOA MBAG,Róbalo Fileteado,40,gramos,40,40,35,7.6,0.3,0,0.1,0,0.1,22.8,0,0,6.8,0,4.7,13.2,0.4,124.4,27.3,75.3,0,,
salmon-ahumado,AOA MBAG,Salmón ahumado,35,gramos,35,35,41,6.4,1.5,0,0.3,0.7,0.3,8.1,0,0,9.1,0,0.7,3.7,0.3,61.4,274.4,57.2,0,,
sats-orugas,AOA MBAG,Sats orugas,65,gramos,65,65,35,7,0.8,0,,,,,0,0,14.3,0,,35.1,2.7,,,25.4,0,,
sopa-de-almeja,AOA MBAG,Sopa de almeja,0.75,taza,180,180,101,5.4,2.5,14.1,1.6,0.7,0.1,10.8,3,2.2,126,9.2,,50.4,2,,750.6,,0,,
surimi,AOA MBAG,Surimi,0.66,barra,40,40,39,6,0.4,2.7,0.1,0.1,0.2,11.9,0,0,7.9,0,0.8,3.7,0.1,44.3,56.6,111.8,0,,
surimi-imitacion-camaron,AOA MBAG,Surimi imitación camarón,40,gramos,40,40,40,4.9,0.6,3.7,0.1,0.1,0.3,14.6,0,0,8,0,0.8,7.5,0.2,35.8,18,112.9,0,,
tampiquena,AOA MBAG,Tampiqueña,0.25,pieza,30,30,36,7.2,0.8,0,0.4,0.3,0,14.1,0,0,41.7,0,3,2.7,0.5,90,18,63,0,,
tampiquena-de-filete,AOA MBAG,Tampiqueña de Filete,0.25,pieza,30,30,36,7.2,0.8,0,0.4,0.3,0,14.1,0,0,41.7,0,3,2.7,0.5,90,18,63,0,,
trucha-fresca,AOA MBAG,Trucha fresca,35,gramos,35,35,42,7.2,1.2,0,0.2,0.4,0.5,20.6,0,0,6.6,0.8,4.1,23.5,0.2,168.4,10.7,94.7,0,,
venado-cocido-carne-magra,AOA MBAG,Venado cocido (carne magra),25,gramos,25,23,42,6,1.8,0,0.9,0.4,0.1,22.1,0,0,0,0,1.8,3.2,0.8,81.9,17.6,51.3,0,,
venado-crudo-carne-magra,AOA MBAG,Venado crudo (carne magra),30,gramos,30,27,42,5.9,1.9,0,0.9,0.4,0.1,21.6,0,0,0,0,1.1,3,0.8,89.1,20.3,54.3,0,,
agujas-de-res,AOA BAG,Agujas de res,35,gramos,35,33,51,6.8,2.6,0,1,1,0.1,20.6,0,0,77.5,0,3.3,3,0.6,119,20.9,,0,,
anchoa-con-aceite,AOA BAG,Anchoa con aceite,6,pieza,24,24,50,7,2.3,0,0.5,0.9,0.6,20.4,0,0,2.9,0,3.1,55.7,1.1,130.6,880.3,60.5,0,,
anchoas-en-lata,AOA BAG,Anchoas en lata,6,pieza,24,24,50,6.9,2.3,0,0.5,9,0.6,20.4,0,0,2.9,0,,55.7,1.1,,880.3,,0,,
arenque-cocido,AOA BAG,Arenque cocido,25,gramos,25,25,51,5.8,2.9,0,0.6,1.2,0.7,19.3,0,0,9,0.2,3,18.5,0.4,104.7,28.8,75.9,0,,
arenque-fresco-crudo,AOA BAG,Arenque fresco crudo,35,gramos,35,35,55,6.3,3.2,0,0.7,1.3,0.7,21,0,0,9.8,0.2,3.5,20,0.4,114.5,31.5,82.6,0,,
arrachera-cruda,AOA BAG,Arrachera cruda,35,gramos,35,35,49,7.5,1.9,0,0.7,0.7,0.1,11.6,0,0,0,0,4.6,8.4,0.5,119,19.3,70.7,0,,
arrachera-de-res-cocida,AOA BAG,Arrachera de res cocida,30,gramos,30,30,56,8.4,2.2,0,0.9,0.9,0.1,14.7,0,0,0,0,2.7,5.4,0.5,105,17.1,65.1,0,,
atun-ahumado,AOA BAG,Atún ahumado,30,gramos,30,30,56,7.7,3.1,0,0.7,0,1.4,10.5,0,0,0,0,,0,0.8,,62.7,,0,,
atun-blanco-en-aceite,AOA BAG,Atún blanco en aceite,30,gramos,30,30,56,8,2.4,0,0.4,1,0.9,7,0,0,1.2,0,1.5,0.8,0.1,99.9,91.2,80.1,0,,
atun-en-aceite-drenado,AOA BAG,Atún en aceite drenado,0.33,lata,33,33,66,9.7,2.7,0,0.5,1,1,10.3,0,0,7.7,0,1.7,4.3,0.5,69,118,103.7,0,,
barbacoa,AOA BAG,Barbacoa,50,gramos,50,40,54,7.6,2.4,0,1.6,0.8,0,26,0,0,0,0,0,2.8,0.9,118,30,0,0,,
barbacoa-con-hueso,AOA BAG,Barbacoa con hueso,65,gramos,65,38,51,7.2,2.3,0,1.5,0.8,0,24.5,0,0,0,0,0,2.6,0.8,111.2,28.3,0,0,,
bistec-de-ternera,AOA BAG,Bistec de ternera,35,gramos,35,35,55,6.9,2.8,0,1.2,2,0.1,31.5,0,0,0,0,0,3.9,1.1,112,31.5,0,0,,
bonito,AOA BAG,Bonito,60,gramos,60,31,51,7.3,2.2,0,0,0,0,0,0,0,0,0,0,8,0.2,89.7,12.2,0,0,,
bonito-en-aceite,AOA BAG,Bonito en aceite,25,gramos,25,25,55,7.3,2.9,0,0.5,0.8,1.4,11.7,0,0,0,0,3.9,7.2,0.3,0,0,0,0,,
bonito-fileteado,AOA BAG,Bonito Fileteado,30,gramos,30,30,50,7.2,2.2,0,0,0,0,0,0,0,0,0,0,7.8,0.2,87.9,12,0,0,,
cabeza-de-carnero-ocida,AOA BAG,Cabeza de carnero ocida,495,gramos,495,50,55,7,2.8,0,1.5,1,0,32.2,0,0,0,0,0,8.4,1,146,37.1,0,0,,
cabeza-de-cerdo,AOA BAG,Cabeza de cerdo,495,gramos,495,50,55,7,2.8,0,1.5,1,0,32.2,0,0,0,0,0,8.4,1,146,37.1,0,0,,
calamar-frito,AOA BAG,Calamar frito,35,gramos,35,35,61,6.3,2.6,2.7,0.7,0.9,0.7,91,0,0,3.7,1.6,2.1,13.6,0.4,97.6,107.1,87.7,0,,
carne-de-cerdo,AOA BAG,Carne de cerdo,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
carne-de-cerdo-molida,AOA BAG,Carne de cerdo molida,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
carne-de-ganso-de-crianza,AOA BAG,Carne de ganso de crianza,40,gramos,40,32,52,7.4,2.3,0,0.9,0.6,0.3,27.2,0,0,3.9,2.3,10,4.2,0.8,136.1,28.2,101.1,0,,
carne-de-pato-de-crianza,AOA BAG,Carne de pato de crianza,60,gramos,60,39,51,7.1,2.3,0,0.9,0.6,0.3,30,0,0,9.4,2.3,9.8,4.3,0.9,105.7,28.9,79.2,0,,
carne-de-res-promedio,AOA BAG,Carne de res (promedio),30,gramos,30,30,54,6.2,3,0,1.5,1.2,0,19.5,0,0,1.8,0,0,3.6,0.9,106.5,19.5,0,0,,
carne-de-ternera,AOA BAG,Carne de ternera,35,gramos,35,35,55,6.9,2.8,0,1.2,2,0.1,31.5,0,0,0,0,0,3.9,1.1,112,31.5,0,0,,
carne-molida-de-cerdo-40,AOA BAG,Carne molida de cerdo 40,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
carne-promedio,AOA BAG,Carne promedio,30,gramos,30,29,51,5.9,2.9,0,1.4,1.1,0,18.5,0,0,1.7,0,0,3.4,0.9,101.2,18.5,0,0,,
carnero,AOA BAG,Carnero,50,gramos,50,40,54,7.6,2.4,0,1.6,0.8,0,26,0,0,0,0,0,2.8,0.9,118,30,0,0,,
carnero-con-hueso,AOA BAG,Carnero con hueso,65,gramos,65,38,51,7.2,2.3,0,1.5,0.8,0,24.5,0,0,0,0,0,2.6,0.8,111.2,28.3,0,0,,
carpa,AOA BAG,Carpa,75,gramos,75,41,51,7.2,2.3,0,0.4,1,0.6,26.7,0,0,3.8,0.5,6.2,16.7,0.5,134.8,20,168.2,0,,
carpa-cocida,AOA BAG,Carpa cocida,30,gramos,30,30,49,6.8,2.2,0,0.4,0.9,0.6,25.1,0,0,2.8,0.4,5.3,15.5,0.5,128.1,19.1,159.5,0,,
carpa-horneada,AOA BAG,Carpa horneada,30,gramos,30,30,49,6.8,2.2,0,0.4,0.9,0.6,25.1,0,0,2.8,0.4,5.3,15.5,0.5,128.1,19.1,159.5,0,,
chamorro-cocido,AOA BAG,Chamorro cocido,25,gramos,25,25,58,6.5,3.4,0,1.2,1.5,0.6,22.8,0,0,1,0,,3.8,0.2,,20.3,,0,,
chuleta-de-cerdo,AOA BAG,Chuleta de cerdo,0.5,pieza,45,38,54,7.6,2.4,0,0.8,1,0.2,24.9,0,0,0.4,0,1.5,2.3,0.5,13,31.4,0,0,,
cola-de-res,AOA BAG,Cola de res,20,gramos,20,20,50,6.2,2.6,0,1,1.1,1,21,0,0,0,0,,2.6,0.7,,78.6,,0,,
conejo,AOA BAG,Conejo,40,gramos,40,32,51,6.5,2.6,0,1,1,0.3,20.8,0,0,0,0,1.6,5.8,0.8,115.2,13.8,0,0,,
conejo-de-crianza,AOA BAG,Conejo de crianza,40,gramos,40,32,51,6.5,2.6,0,1,1,0.3,20.8,0,0,0,0,1.6,5.8,0.8,115.2,13.8,0,0,,
corazon-de-borrego,AOA BAG,Corazón de borrego,45,gramos,45,45,55,7.4,2.5,0.2,0.9,0,0,60,0,0,0,0,0,0,0,0,39.5,0,0,,
corazon-de-borrego-cocido,AOA BAG,Corazón de borrego cocido,30,gramos,30,30,55,7.4,2.4,0.6,0.9,0,0,74.2,0,0,0,0,0,0,0,0,18.7,0,0,,
corazon-de-cordero,AOA BAG,Corazón de cordero,45,gramos,45,45,55,7.4,2.5,0.2,0.9,0,0,60,0,0,0,0,0,0,0,0,39.5,0,0,,
corazon-de-cordero-cocido,AOA BAG,Corazón de cordero cocido,30,gramos,30,30,55,7.4,2.4,0.6,0.9,0,0,74.2,0,0,0,0,0,0,0,0,18.7,0,0,,
corazon-de-pavo,AOA BAG,Corazón de pavo,40,gramos,40,40,58,7.3,2.8,0.3,0.8,0,0,46.3,0,0,0,0,0,0,0,0,35.1,0,0,,
corazon-de-pollo-cocido,AOA BAG,Corazón de pollo cocido,25,gramos,25,25,53,7.9,2.6,0,0.9,0,0,70.2,0,0,0,0,0,0,0,0,17.5,0,0,,
corned-beef,AOA BAG,Corned beef,25,gramos,25,25,54,6.7,3.1,0,1.3,0,0,22.3,0,0,0,0,0,0,0.6,0,218.8,0,0,,
corned-beef-con-aspic,AOA BAG,Corned beef con áspic,30,gramos,30,30,46,6.9,1.8,0,0.8,0.9,0.1,13.9,0,0,0,0,2.1,3.2,0.6,30,286.1,21.4,0,,
cueritos-de-cerdo,AOA BAG,Cueritos de cerdo,10,gramos,10,10,54,6.1,3.1,0,1.1,1.5,0.4,9.5,0,0,1.2,0.1,,3,0.1,,181.8,,0,,
cuete-de-ternera,AOA BAG,Cuete de ternera,35,gramos,35,35,55,6.9,2.8,0,1.2,2,0.1,31.5,0,0,0,0,0,3.9,1.1,112,31.5,0,0,,
falda-de-cerdo,AOA BAG,Falda de cerdo,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
filete-de-carpa,AOA BAG,Filete de carpa,40,gramos,40,40,51,7.2,2.3,0,0.4,0.9,0.6,26.4,0,0,3.8,0.5,6.1,16.5,0.5,133.2,19.8,166.1,0,,
filete-de-cerdo,AOA BAG,Filete de cerdo,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
filete-de-puerco,AOA BAG,Filete de puerco,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
gallina,AOA BAG,Gallina,40,gramos,40,27,59,7.6,3,0,0.9,0.8,0.6,21.2,0,0,5.4,0,1.9,7.1,0.5,76.7,17.4,0,0,,
gallina-joven-cocida,AOA BAG,Gallina joven cocida,40,gramos,40,27,59,7.6,3,0,0.9,0.8,0.6,21.2,0,0,5.4,0,1.9,7.1,0.5,76.7,17.4,0,0,,
ganso-de-crianza,AOA BAG,Ganso de crianza,40,gramos,40,32,52,7.4,2.3,0,0.9,0.6,0.3,27.2,0,0,3.9,2.3,10,4.2,0.8,136.1,28.2,101.1,0,,
guajolote,AOA BAG,Guajolote,45,gramos,45,36,57,7.3,2.8,0,0.8,0.8,0.7,26,0,0,0.7,0,2.8,5.3,0.5,94.6,23.1,0,0,,
higado-de-ganso-crudo,AOA BAG,Hígado de ganso crudo,40,gramos,40,40,53,6.5,1.7,2.5,0.6,0.3,0.1,206,0,0,3723.6,1.8,295.2,17.2,12.2,92,56,104.4,0,,
higado-de-borrego-cocido,AOA BAG,Hígado de borrego cocido,25,gramos,25,25,55,7.6,2.2,0.6,0.9,0.5,0.3,125.3,,0,1872.8,1,18.3,2,2.1,55.3,14,105,0,,
higado-de-cerdo-cocido,AOA BAG,Hígado de cerdo cocido,30,gramos,30,30,50,7.8,1.3,1.1,0.4,0.2,0.3,106.5,,0,1621.5,7.1,48.9,3,5.4,45,14.7,72.3,0,,
higado-de-ganso,AOA BAG,Hígado de ganso,0.5,pieza,47,47,63,7.7,2,3,0.7,0.4,0.1,242.1,0,0,4375.2,2.1,346.9,20.2,14.3,108.1,65.8,122.7,0,,
higado-de-pato-crudo,AOA BAG,Hígado de pato crudo,40,gramos,40,40,54,7.5,1.8,1.4,0.6,0.3,0.2,206,0,0,4793.6,1.8,295.2,4.4,12.2,92,56,107.6,0,,
higado-de-pavo,AOA BAG,Hígado de pavo,4,cda,35,35,59,8.4,2.1,1.2,0.7,0.5,0.4,219.1,0,0,4043.4,0.7,233.1,3.9,2.7,67.9,22.4,95.2,0,,
higado-de-pollo-cocid,AOA BAG,Hígado de pollo cocid,30,gramos,30,30,50,7.3,2,0.3,0.6,0.4,0.6,168.9,,,1194.3,8.4,173.4,3.3,3.5,78.9,22.8,121..5,0,,
higado-de-pollo-crudo,AOA BAG,Hígado de pollo crudo,40,gramos,40,40,48,7.2,1.6,1.4,0.5,0.3,0.2,120,,,1452,1.6,295.2,4.4,3.4,91.2,31.6,54.4,0,,
higado-de-res-cocido,AOA BAG,Hígado de res cocido,30,gramos,30,30,48,7.3,1.5,1,0.6,0.2,0.3,116.7,0,0,3180.6,6.9,65.1,2.1,2,70.5,21,121.2,0,,
higado-de-res-frito,AOA BAG,Hígado de res frito,25,gramos,25,25,54,6.7,2,2,0.7,0.4,0.4,120.5,0,0,2682.3,5.8,55,2.8,1.6,91,26.5,115,0,,
hueva-de-pescado-cocida,AOA BAG,Hueva de pescado cocida,25,gramos,25,25,51,7.2,2.1,0.5,0.5,0.5,0.9,119.8,0,0,22.8,4.1,23,7,0.2,70.8,29.3,128.8,0,,
huevo-congelado-sin-colesterol,AOA BAG,Huevo congelado sin colesterol,4,cda,60,60,96,6.8,6.7,1.9,1.2,1.5,3.7,1,0,0,81,0,10,44,1.2,128,120,43,0,,
huevo-de-tortuga,AOA BAG,Huevo de tortuga,50,gramos,50,45,51,5.6,2.8,0.4,0,0,0,0,0,0,28.9,0,0,27.6,0.7,0,0,0,0,,
jamon-bajo-en-grasa,AOA BAG,Jamón bajo en grasa,2,reb,42,42,56,8.1,2.1,0.5,0.8,1.1,0.2,19.5,0,0,0,0,1.5,3,0.3,147,600,91.5,0,,
jamon-de-pavo,AOA BAG,Jamón de pavo,2,reb,42,42,54,8,2.1,0.1,0.7,0.5,0.7,23.6,0,0,0,0,2.2,4.4,1.2,136.3,418.5,80.3,0,,
jamon-de-pierna,AOA BAG,Jamón de pierna,2,reb,42,42,56,8.1,2.1,0.5,0.8,1.1,0.2,19.5,0,0,0,0,1.5,3,0.3,147,600,91.5,0,,
lomo-de-cerdo,AOA BAG,Lomo de cerdo,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
lorno-de-cerdo-en-trozos,AOA BAG,Lorno de cerdo en trozos,40,gramos,40,40,56,7.9,2.5,0,0.9,1,0.2,26,0,0,0.4,0,1.6,2.4,0.5,13.6,32.8,0,0,,
maciza-de-carnero,AOA BAG,Maciza de carnero,50,gramos,50,40,54,7.6,2.4,0,1.6,0.8,0,26,0,0,0,0,0,2.8,0.9,118,30,0,0,,
maciza-de-ternera,AOA BAG,Maciza de ternera,35,gramos,35,35,55,6.9,2.8,0,1.2,2,0.1,31.5,,0,0,0,0,3.9,1.1,112,31.5,0,0,,
marlin,AOA BAG,Marlín,35,gramos,35,35,50,6.9,2.3,0,0.6,1,0.5,23.1,0,0,12.6,0,,1.8,0.1,,28.4,,0,,
